,STPK,Mutant,DEG,Fold-change (log2),p-value,Induced/ Repressed
0,PknB,OE,Rv3269,-3.0417,8.72e-27,Repressed
1,PknB,OE,Rv2398c,-2.602,8.39e-12,Repressed
2,PknB,OE,Rv1218c,-2.5868,1.24e-16,Repressed
3,PknB,OE,Rv3660c,-2.4804,6.95e-11,Repressed
4,PknB,OE,Rv3250c,-2.2576,3.04e-11,Repressed
5,PknB,OE,Rv3251c,-2.2149,2.48e-09,Repressed
6,PknB,OE,Rv2620c,-2.2045,1.37e-15,Repressed
7,PknB,OE,Rv3054c,-2.1786,1.87e-05,Repressed
8,PknB,OE,Rv2662,-2.1707,1.44e-05,Repressed
9,PknB,OE,Rv0768,-2.1439,3.12e-07,Repressed
10,PknB,OE,Rv0654,-2.0064,6.15e-09,Repressed
11,PknB,OE,Rv2399c,-2.003,2.09e-07,Repressed
12,PknB,OE,Rv1965,2.0592,1.81e-06,Induced
13,PknB,OE,Rv0015c,2.1295,9.74e-31,Induced
14,PknB,OE,Rv1131,2.2588,1.73e-07,Induced
15,PknB,OE,Rv1130,2.4886,1.73e-08,Induced
16,PknB,LOF,Rv2625c,-5.8545,1.58e-25,Repressed
17,PknB,LOF,Rv2628,-5.7862,5.52e-23,Repressed
18,PknB,LOF,Rv2626c,-5.7714,1.9e-13,Repressed
19,PknB,LOF,Rv2623,-5.4841,1.44e-17,Repressed
20,PknB,LOF,Rv2624c,-5.262,1.68e-20,Repressed
21,PknB,LOF,Rv3129,-5.24,4.08e-11,Repressed
22,PknB,LOF,Rv2627c,-4.9481,4.59e-13,Repressed
23,PknB,LOF,Rv2007c,-4.6191,1.27e-10,Repressed
24,PknB,LOF,Rv3130c,-4.5554,7.04e-16,Repressed
25,PknB,LOF,Rv1996,-4.5338,1.5e-20,Repressed
26,PknB,LOF,Rv3128c,-4.5155,1.5e-09,Repressed
27,PknB,LOF,Rv2629,-4.1445,3.12e-23,Repressed
28,PknB,LOF,Rv2630,-4.0505,4.12e-42,Repressed
29,PknB,LOF,Rv3127,-4.0438,2.58e-14,Repressed
